account_no,amount,location,transaction_count,transaction_type,device_type,is_new_location,is_fraud
ACC8868,53737,Lahore,1,Payment,POS,0,0
ACC9652,160082,Karachi,2,Transfer,POS,0,0
ACC3628,170876,Islamabad,7,Deposit,Mobile,0,0
ACC3202,122580,Karachi,4,Payment,Mobile,0,0
ACC4444,137432,Karachi,9,Withdrawal,Mobile,0,0
ACC9064,176679,Quetta,6,Deposit,Mobile,0,0
ACC7391,890740,Lahore,17,Payment,POS,0,1
ACC2179,14758,Karachi,7,Transfer,ATM,0,0
ACC7836,41974,Quetta,5,Payment,Mobile,0,0
ACC1618,84910,Peshawar,3,Deposit,Desktop,0,0
ACC5890,177291,Quetta,2,Withdrawal,POS,0,0
ACC8244,132049,Lahore,5,Withdrawal,Mobile,0,0
ACC4323,41357,Lahore,2,Withdrawal,Mobile,0,0
ACC2442,132497,Quetta,4,Payment,Mobile,0,0
ACC1965,176686,Karachi,3,Payment,Mobile,0,0
ACC1600,22246,Quetta,7,Payment,Desktop,0,0
ACC6587,118321,Peshawar,4,Transfer,Mobile,0,0
ACC9269,25188,Karachi,4,Withdrawal,POS,0,0
ACC7652,144072,Quetta,8,Withdrawal,Desktop,1,0
ACC1798,149352,Lahore,6,Deposit,POS,0,0
ACC8549,814596,Peshawar,18,Withdrawal,Mobile,1,1
ACC6035,132491,Lahore,8,Deposit,Desktop,0,0
ACC2136,52489,Lahore,4,Withdrawal,Desktop,0,0
ACC3545,183369,Karachi,1,Deposit,POS,1,0
ACC4546,177971,Karachi,8,Payment,POS,0,0
ACC6755,117649,Peshawar,6,Payment,ATM,0,0
ACC5327,10765,Quetta,4,Withdrawal,POS,0,0
ACC2472,170202,Karachi,8,Deposit,POS,1,0
ACC6611,721462,Islamabad,29,Transfer,Desktop,1,1
ACC4002,152770,Lahore,6,Withdrawal,Desktop,0,0
ACC1301,325158,Peshawar,42,Transfer,POS,1,1
ACC3040,169632,Peshawar,9,Withdrawal,Mobile,0,0
ACC3162,143883,Peshawar,6,Payment,POS,0,0
ACC6828,753595,Quetta,44,Withdrawal,ATM,1,1
ACC5920,39622,Quetta,3,Withdrawal,Mobile,0,0
ACC7645,25633,Karachi,5,Payment,ATM,0,0
ACC6109,53345,Lahore,2,Deposit,ATM,0,0
ACC4689,55574,Karachi,2,Withdrawal,Mobile,1,0
ACC2485,12781,Quetta,1,Withdrawal,POS,0,0
ACC2489,33048,Quetta,7,Payment,ATM,0,0
ACC4940,80938,Quetta,1,Transfer,Desktop,0,0
ACC2565,547366,Karachi,42,Payment,POS,1,1
ACC3732,20285,Quetta,5,Payment,ATM,0,0
ACC5767,152429,Karachi,4,Payment,POS,0,0
ACC4196,71981,Islamabad,6,Deposit,Mobile,0,0
ACC8067,693217,Islamabad,23,Transfer,Mobile,1,1
ACC4940,190148,Lahore,7,Deposit,POS,0,0
ACC5278,23590,Karachi,3,Transfer,Desktop,0,0
ACC1195,130740,Peshawar,4,Transfer,ATM,1,0
ACC1829,34796,Lahore,5,Deposit,ATM,0,0
ACC7496,18273,Karachi,6,Transfer,Desktop,0,0
ACC8651,162647,Peshawar,6,Transfer,Mobile,0,0
ACC8156,128843,Peshawar,1,Withdrawal,Mobile,0,0
ACC8024,50660,Lahore,8,Deposit,POS,0,0
ACC4567,121169,Peshawar,7,Withdrawal,Mobile,0,0
ACC3887,170521,Karachi,7,Withdrawal,Mobile,0,0
ACC4406,172292,Lahore,9,Deposit,ATM,1,0
ACC2097,30020,Karachi,8,Deposit,ATM,1,0
ACC7695,41534,Islamabad,6,Transfer,Mobile,0,0
ACC5675,88224,Quetta,7,Deposit,ATM,0,0
ACC2590,107897,Peshawar,9,Transfer,Desktop,0,0
ACC1515,190050,Karachi,4,Withdrawal,Desktop,1,0
ACC7149,55501,Quetta,7,Deposit,Desktop,0,0
ACC8317,572658,Lahore,18,Withdrawal,POS,0,1
ACC9408,84680,Lahore,1,Withdrawal,POS,1,0
ACC1955,144584,Peshawar,9,Deposit,Mobile,0,0
ACC7380,40223,Peshawar,1,Payment,POS,0,0
ACC7298,34444,Lahore,5,Deposit,Desktop,0,0
ACC9240,83862,Peshawar,7,Withdrawal,ATM,1,0
ACC6697,101689,Lahore,2,Transfer,Desktop,0,0
ACC4465,143951,Peshawar,8,Transfer,POS,1,0
ACC7009,8996,Islamabad,2,Payment,Mobile,0,0
ACC1808,128469,Karachi,5,Payment,ATM,0,0
ACC9412,9385,Peshawar,4,Transfer,ATM,1,0
ACC5488,94212,Islamabad,5,Withdrawal,Mobile,0,0
ACC2601,173762,Islamabad,1,Payment,POS,0,0
ACC8803,37709,Peshawar,6,Payment,ATM,1,0
ACC4688,67580,Peshawar,2,Deposit,Desktop,0,0
ACC7986,103362,Islamabad,5,Payment,ATM,0,0
ACC8507,34767,Lahore,5,Payment,Mobile,1,0
ACC7724,161104,Quetta,7,Transfer,POS,1,0
ACC9001,149496,Peshawar,8,Deposit,ATM,0,0
ACC8577,102749,Quetta,4,Transfer,ATM,0,0
ACC2736,39958,Peshawar,6,Deposit,Desktop,0,0
ACC9600,158524,Lahore,4,Payment,POS,0,0
ACC7283,83471,Lahore,9,Withdrawal,POS,0,0
ACC9420,63797,Peshawar,1,Withdrawal,Mobile,0,0
ACC2240,153180,Peshawar,8,Deposit,Desktop,0,0
ACC8175,487283,Peshawar,27,Withdrawal,ATM,1,1
ACC2943,135506,Lahore,9,Transfer,Mobile,0,0
ACC2694,196274,Islamabad,7,Withdrawal,Desktop,0,0
ACC2306,471140,Quetta,40,Transfer,Desktop,1,1
ACC4093,66504,Quetta,5,Transfer,ATM,0,0
ACC9431,111775,Islamabad,3,Payment,Desktop,0,0
ACC4523,15647,Quetta,4,Deposit,POS,0,0
ACC9122,74970,Lahore,2,Transfer,ATM,0,0
ACC3071,153077,Peshawar,6,Payment,Mobile,1,0
ACC4283,198626,Karachi,4,Deposit,Mobile,0,0
ACC1316,105437,Karachi,1,Deposit,ATM,0,0
ACC1628,324656,Lahore,34,Transfer,POS,1,1
ACC6683,62823,Lahore,4,Deposit,Desktop,0,0
ACC6063,18185,Karachi,3,Deposit,Desktop,0,0
ACC1029,173535,Islamabad,1,Transfer,Desktop,0,0
ACC7420,133848,Islamabad,8,Transfer,POS,0,0
ACC4902,38908,Peshawar,3,Payment,POS,0,0
ACC8985,42368,Quetta,1,Payment,POS,0,0
ACC9793,194696,Quetta,5,Deposit,Desktop,0,0
ACC1065,111740,Lahore,6,Transfer,POS,1,0
ACC2271,55744,Peshawar,9,Payment,POS,0,0
ACC9643,151615,Islamabad,6,Payment,Desktop,0,0
ACC1490,165528,Islamabad,1,Withdrawal,Desktop,0,0
ACC6175,131719,Lahore,4,Deposit,Mobile,0,0
ACC3192,48518,Peshawar,9,Payment,POS,1,0
ACC3207,4235,Quetta,1,Withdrawal,POS,0,0
ACC6125,424321,Lahore,33,Transfer,Desktop,1,1
ACC1093,427966,Quetta,43,Transfer,Mobile,0,1
ACC2623,726845,Lahore,27,Transfer,Desktop,1,1
ACC3329,27807,Lahore,9,Transfer,Mobile,0,0
ACC1171,2489,Lahore,5,Transfer,Mobile,0,0
ACC9368,98787,Islamabad,7,Withdrawal,POS,0,0
ACC6262,138699,Peshawar,3,Deposit,Desktop,0,0
ACC6311,41598,Quetta,7,Payment,ATM,1,0
ACC6306,589191,Islamabad,29,Transfer,Mobile,0,1
ACC8577,93415,Islamabad,4,Deposit,POS,0,0
ACC9285,61056,Peshawar,5,Withdrawal,Mobile,0,0
ACC7311,872661,Quetta,33,Transfer,POS,0,1
ACC6799,149011,Quetta,7,Transfer,Desktop,0,0
ACC4411,121643,Islamabad,4,Deposit,ATM,0,0
ACC4546,21745,Quetta,5,Payment,Desktop,0,0
ACC9972,126625,Islamabad,7,Payment,POS,0,0
ACC2753,92443,Peshawar,9,Transfer,Desktop,0,0
ACC4157,18170,Lahore,5,Transfer,Desktop,0,0
ACC1744,689927,Lahore,33,Payment,ATM,0,1
ACC9808,856498,Lahore,12,Payment,POS,1,1
ACC4225,167735,Quetta,9,Deposit,POS,0,0
ACC6878,368155,Karachi,12,Transfer,Desktop,1,1
ACC3221,63612,Peshawar,9,Transfer,Desktop,0,0
ACC4455,19402,Islamabad,6,Transfer,ATM,0,0
ACC6938,152443,Peshawar,8,Deposit,ATM,0,0
ACC1729,959786,Islamabad,22,Transfer,POS,1,1
ACC5208,16821,Islamabad,7,Payment,POS,0,0
ACC7270,63580,Quetta,3,Transfer,Desktop,1,0
ACC5119,62146,Islamabad,1,Transfer,POS,1,0
ACC9934,146731,Quetta,8,Payment,Mobile,0,0
ACC3609,168695,Lahore,6,Payment,Desktop,0,0
ACC5532,581369,Lahore,13,Withdrawal,Mobile,1,1
ACC1867,190020,Islamabad,7,Withdrawal,POS,0,0
ACC8103,59428,Karachi,9,Withdrawal,Mobile,0,0
ACC6748,44435,Peshawar,1,Withdrawal,POS,0,0
ACC9968,145699,Karachi,8,Transfer,Mobile,0,0
ACC5058,11822,Lahore,9,Transfer,Desktop,0,0
ACC2241,113030,Islamabad,9,Transfer,Desktop,0,0
ACC5285,27273,Karachi,1,Payment,POS,0,0
ACC3196,139244,Lahore,1,Deposit,Mobile,1,0
ACC7780,47699,Lahore,4,Deposit,ATM,0,0
ACC1534,118075,Karachi,4,Transfer,POS,0,0
ACC6753,39185,Quetta,1,Deposit,ATM,0,0
ACC5164,165811,Peshawar,6,Deposit,Desktop,0,0
ACC6015,10251,Karachi,9,Payment,POS,0,0
ACC9988,18380,Quetta,3,Deposit,POS,1,0
ACC9331,40189,Peshawar,8,Withdrawal,POS,1,0
ACC7477,14976,Lahore,9,Deposit,Desktop,0,0
ACC7469,554049,Peshawar,16,Transfer,Desktop,1,1
ACC6471,192342,Karachi,9,Payment,POS,0,0
ACC1141,16997,Islamabad,1,Payment,ATM,1,0
ACC5538,70720,Islamabad,1,Withdrawal,Desktop,0,0
ACC7294,185683,Karachi,1,Withdrawal,ATM,1,0
ACC5468,187575,Lahore,2,Transfer,POS,0,0
ACC1957,4279,Islamabad,1,Withdrawal,ATM,0,0
ACC3212,50489,Quetta,4,Withdrawal,Mobile,1,0
ACC7615,123306,Islamabad,5,Payment,ATM,1,0
ACC3371,24183,Islamabad,4,Withdrawal,Mobile,1,0
ACC3983,122875,Karachi,5,Deposit,Desktop,0,0
ACC5439,57777,Islamabad,6,Payment,Mobile,1,0
ACC2041,23312,Islamabad,9,Deposit,Desktop,1,0
ACC2134,139759,Quetta,3,Transfer,POS,0,0
ACC3145,102225,Peshawar,2,Transfer,POS,0,0
ACC4083,70849,Lahore,5,Payment,ATM,0,0
ACC2115,31409,Islamabad,1,Transfer,POS,0,0
ACC8148,143894,Quetta,4,Deposit,Mobile,1,0
ACC4915,151544,Karachi,3,Payment,Mobile,0,0
ACC4305,594761,Karachi,17,Transfer,ATM,0,1
ACC6923,114666,Lahore,4,Transfer,Mobile,0,0
ACC4614,126185,Peshawar,9,Payment,Mobile,0,0
ACC1929,105161,Karachi,5,Deposit,Desktop,0,0
ACC2525,86611,Lahore,8,Deposit,Mobile,0,0
ACC2385,19563,Quetta,6,Transfer,ATM,1,0
ACC6288,193274,Karachi,7,Payment,ATM,0,0
ACC5146,110131,Islamabad,3,Withdrawal,Desktop,0,0
ACC2465,139939,Lahore,1,Transfer,Mobile,1,0
ACC8376,443016,Karachi,23,Transfer,POS,1,1
ACC4041,52360,Quetta,7,Deposit,POS,0,0
ACC3509,637392,Quetta,11,Withdrawal,POS,0,1
ACC4274,27551,Islamabad,3,Transfer,Desktop,0,0
ACC8970,6615,Karachi,3,Payment,ATM,0,0
ACC3866,638858,Quetta,39,Withdrawal,Mobile,1,1
ACC8184,944993,Peshawar,24,Transfer,ATM,1,1
ACC1239,45384,Quetta,4,Withdrawal,Mobile,0,0
ACC1538,109126,Lahore,9,Payment,ATM,0,0
ACC6287,191384,Peshawar,3,Deposit,Mobile,0,0
ACC3824,152237,Peshawar,3,Deposit,Desktop,0,0
ACC7797,94904,Quetta,5,Payment,POS,0,0
ACC2571,52265,Islamabad,1,Payment,Desktop,0,0
ACC3154,1993,Karachi,8,Withdrawal,Mobile,0,0
ACC2206,14760,Lahore,5,Deposit,ATM,0,0
ACC8624,626192,Peshawar,11,Transfer,ATM,1,1
ACC5053,96306,Peshawar,4,Transfer,ATM,0,0
ACC2053,160738,Peshawar,6,Payment,POS,0,0
ACC9989,580992,Peshawar,35,Transfer,ATM,1,1
ACC7771,733780,Peshawar,20,Withdrawal,ATM,0,1
ACC1108,130192,Islamabad,7,Payment,Desktop,0,0
ACC7043,105038,Islamabad,2,Withdrawal,ATM,0,0
ACC8994,33472,Karachi,2,Payment,Mobile,0,0
ACC6104,189727,Quetta,3,Transfer,POS,0,0
ACC9030,172520,Lahore,4,Deposit,Desktop,0,0
ACC4387,58110,Quetta,6,Transfer,POS,1,0
ACC8427,97817,Karachi,5,Payment,ATM,1,0
ACC9577,365546,Islamabad,10,Transfer,ATM,1,1
ACC2859,480400,Islamabad,32,Withdrawal,POS,1,1
ACC3817,506838,Quetta,41,Withdrawal,POS,1,1
ACC8390,190356,Islamabad,4,Transfer,Mobile,0,0
ACC3323,679437,Islamabad,42,Payment,POS,1,1
ACC3679,172318,Quetta,7,Payment,POS,0,0
ACC8956,139648,Islamabad,1,Deposit,Mobile,0,0
ACC9963,14831,Peshawar,2,Transfer,Mobile,0,0
ACC2917,43027,Lahore,6,Withdrawal,ATM,0,0
ACC5014,59201,Lahore,3,Deposit,POS,0,0
ACC3230,27623,Islamabad,2,Payment,Desktop,0,0
ACC3277,195017,Peshawar,2,Withdrawal,POS,0,0
ACC7266,23689,Karachi,3,Transfer,ATM,0,0
ACC6011,118996,Karachi,8,Withdrawal,ATM,1,0
ACC1620,86386,Lahore,4,Deposit,POS,0,0
ACC1969,19623,Lahore,2,Withdrawal,POS,0,0
ACC8168,162768,Islamabad,8,Payment,ATM,1,0
ACC7355,109276,Quetta,8,Withdrawal,POS,0,0
ACC3739,90029,Karachi,2,Deposit,POS,0,0
ACC2615,97615,Karachi,9,Transfer,POS,0,0
ACC1027,45742,Quetta,1,Deposit,POS,0,0
ACC4826,42912,Peshawar,6,Transfer,POS,1,0
ACC2822,98811,Lahore,7,Deposit,POS,0,0
ACC1870,846904,Islamabad,25,Withdrawal,POS,1,1
ACC5781,188800,Lahore,9,Transfer,Desktop,0,0
ACC3198,80225,Quetta,2,Payment,POS,0,0
ACC1611,185485,Karachi,5,Deposit,ATM,0,0
ACC7341,162738,Lahore,3,Transfer,POS,0,0
ACC3870,80188,Quetta,3,Transfer,ATM,0,0
ACC5682,710313,Quetta,47,Transfer,ATM,0,1
ACC5527,89383,Islamabad,4,Withdrawal,POS,1,0
ACC9417,23039,Lahore,9,Withdrawal,Mobile,0,0
ACC1410,150992,Lahore,5,Withdrawal,Mobile,0,0
ACC2186,75970,Karachi,6,Transfer,Mobile,0,0
ACC9323,747854,Peshawar,17,Transfer,POS,0,1
ACC8867,162690,Quetta,2,Withdrawal,POS,1,0
ACC8550,159325,Quetta,8,Payment,ATM,0,0
ACC3717,31047,Quetta,4,Transfer,ATM,0,0
ACC1916,163464,Peshawar,1,Deposit,Desktop,0,0
ACC6455,51550,Peshawar,7,Withdrawal,POS,0,0
ACC9731,13882,Karachi,6,Deposit,ATM,1,0
ACC7019,196936,Lahore,5,Transfer,Mobile,1,0
ACC8655,32864,Islamabad,3,Deposit,Desktop,0,0
ACC7098,58680,Peshawar,5,Withdrawal,ATM,0,0
ACC9421,624104,Quetta,13,Payment,ATM,0,1
ACC1941,122471,Karachi,8,Payment,ATM,0,0
ACC5542,138061,Islamabad,6,Transfer,ATM,0,0
ACC2159,20388,Peshawar,6,Deposit,Desktop,0,0
ACC5818,117012,Lahore,7,Deposit,Desktop,0,0
ACC2148,31852,Peshawar,6,Withdrawal,ATM,0,0
ACC7137,39658,Quetta,7,Withdrawal,POS,0,0
ACC3380,89760,Peshawar,2,Deposit,Desktop,0,0
ACC8268,49184,Lahore,1,Withdrawal,Mobile,0,0
ACC3690,127920,Karachi,2,Transfer,ATM,0,0
ACC9789,9552,Lahore,6,Deposit,ATM,0,0
ACC4337,88360,Lahore,1,Transfer,POS,0,0
ACC2759,96641,Lahore,1,Payment,ATM,0,0
ACC7401,109886,Lahore,2,Payment,ATM,0,0
ACC1542,68050,Karachi,9,Payment,Mobile,0,0
ACC2905,132662,Islamabad,1,Withdrawal,Mobile,0,0
ACC6000,99867,Lahore,6,Withdrawal,Desktop,0,0
ACC1730,120454,Lahore,4,Withdrawal,Mobile,0,0
ACC9325,182049,Lahore,9,Deposit,POS,0,0
ACC7680,136149,Islamabad,2,Deposit,Desktop,0,0
ACC7539,64586,Lahore,3,Deposit,Desktop,0,0
ACC2281,81426,Peshawar,5,Payment,Desktop,1,0
ACC5329,43322,Peshawar,9,Payment,Mobile,0,0
ACC5918,148103,Quetta,1,Payment,ATM,1,0
ACC8674,27909,Peshawar,9,Withdrawal,Desktop,0,0
ACC3280,144940,Karachi,4,Deposit,POS,0,0
ACC9429,53626,Peshawar,7,Deposit,POS,0,0
ACC9546,186384,Lahore,8,Deposit,Desktop,0,0
ACC3938,197331,Islamabad,1,Withdrawal,Desktop,0,0
ACC7404,160215,Karachi,9,Withdrawal,Desktop,0,0
ACC7917,41667,Karachi,5,Withdrawal,POS,0,0
ACC5079,978097,Peshawar,39,Withdrawal,POS,1,1
ACC9638,179986,Quetta,6,Withdrawal,ATM,0,0
ACC5446,52699,Quetta,4,Transfer,POS,0,0
ACC9679,181473,Islamabad,9,Withdrawal,POS,1,0
ACC4577,55788,Peshawar,1,Deposit,Desktop,0,0
ACC1941,497484,Islamabad,26,Withdrawal,POS,1,1
ACC3962,136777,Lahore,9,Deposit,Mobile,0,0
ACC2449,17113,Lahore,7,Transfer,ATM,1,0
ACC1553,14081,Karachi,7,Withdrawal,ATM,0,0
ACC8371,98821,Karachi,9,Payment,Mobile,0,0
ACC4983,112847,Islamabad,7,Deposit,POS,0,0
ACC1462,95939,Islamabad,7,Deposit,Mobile,0,0
ACC6628,29516,Peshawar,3,Deposit,ATM,0,0
ACC5045,199808,Quetta,9,Payment,Mobile,0,0
ACC7392,195263,Islamabad,1,Transfer,POS,0,0
ACC7006,20142,Islamabad,2,Payment,ATM,0,0
ACC7574,193314,Islamabad,7,Withdrawal,ATM,0,0
ACC6592,337385,Quetta,39,Transfer,POS,1,1
ACC9667,43715,Lahore,7,Withdrawal,POS,0,0
ACC5505,22835,Peshawar,6,Payment,POS,0,0
ACC1363,191855,Peshawar,4,Payment,POS,0,0
ACC9499,130873,Islamabad,2,Withdrawal,Mobile,0,0
ACC9500,835604,Karachi,43,Payment,Mobile,0,1
ACC2881,168298,Quetta,7,Withdrawal,Mobile,1,0
ACC4551,187718,Peshawar,8,Payment,ATM,0,0
ACC3408,131528,Islamabad,9,Withdrawal,ATM,0,0
ACC8087,4861,Quetta,9,Withdrawal,Mobile,0,0
ACC1806,732207,Lahore,37,Transfer,Desktop,0,1
ACC9801,26349,Peshawar,1,Withdrawal,Desktop,0,0
ACC1453,694345,Lahore,38,Transfer,Mobile,1,1
ACC6587,123753,Islamabad,9,Withdrawal,POS,0,0
ACC1999,45668,Peshawar,3,Payment,ATM,0,0
ACC9337,173110,Karachi,6,Payment,ATM,1,0
ACC4295,812632,Karachi,47,Withdrawal,POS,1,1
ACC8012,189901,Islamabad,2,Withdrawal,POS,1,0
ACC5155,47184,Quetta,5,Transfer,POS,0,0
ACC6521,70254,Karachi,2,Withdrawal,Mobile,0,0
ACC7936,160341,Peshawar,4,Withdrawal,POS,0,0
ACC6104,402083,Islamabad,31,Transfer,ATM,0,1
ACC5069,140160,Peshawar,7,Deposit,POS,0,0
ACC9395,883086,Quetta,22,Transfer,Desktop,1,1
ACC3957,85814,Quetta,1,Withdrawal,ATM,0,0
ACC9874,93753,Quetta,2,Withdrawal,Mobile,0,0
ACC8815,49068,Quetta,8,Payment,ATM,0,0
ACC3913,100374,Islamabad,1,Transfer,Desktop,0,0
ACC9866,898966,Quetta,41,Payment,Mobile,0,1
ACC2465,14365,Islamabad,7,Payment,POS,0,0
ACC2145,32547,Quetta,6,Payment,POS,1,0
ACC9327,425478,Quetta,30,Transfer,Mobile,1,1
ACC7252,21137,Quetta,5,Transfer,ATM,0,0
ACC7325,149388,Peshawar,2,Transfer,POS,0,0
ACC2359,21264,Islamabad,4,Transfer,Desktop,0,0
ACC6530,116030,Quetta,9,Deposit,POS,0,0
ACC5234,951200,Quetta,17,Withdrawal,ATM,1,1
ACC9988,19816,Islamabad,3,Payment,Desktop,1,0
ACC5446,126400,Karachi,8,Deposit,POS,0,0
ACC8874,178615,Lahore,5,Payment,Desktop,0,0
ACC7611,121257,Islamabad,1,Transfer,ATM,1,0
ACC7485,79297,Karachi,8,Deposit,ATM,0,0
ACC2161,26646,Lahore,9,Deposit,POS,0,0
ACC1524,6980,Lahore,9,Payment,Desktop,0,0
ACC7168,111132,Quetta,7,Payment,Mobile,0,0
ACC3999,25849,Peshawar,9,Transfer,Desktop,0,0
ACC5525,182850,Quetta,7,Payment,POS,0,0
ACC1759,125763,Islamabad,5,Transfer,POS,0,0
ACC5782,178604,Lahore,3,Withdrawal,ATM,0,0
ACC1416,91131,Peshawar,1,Withdrawal,POS,0,0
ACC5022,70974,Lahore,7,Payment,ATM,0,0
ACC4034,94785,Lahore,6,Payment,ATM,0,0
ACC2749,55339,Peshawar,9,Transfer,Desktop,0,0
ACC9706,20478,Lahore,9,Transfer,ATM,0,0
ACC5788,100351,Karachi,3,Payment,POS,0,0
ACC1042,162159,Lahore,9,Withdrawal,POS,0,0
ACC6707,129329,Karachi,8,Transfer,POS,0,0
ACC5551,22171,Peshawar,3,Transfer,ATM,1,0
ACC1980,49957,Peshawar,4,Deposit,POS,0,0
ACC4914,81149,Karachi,5,Withdrawal,Desktop,0,0
ACC1848,95221,Peshawar,5,Payment,POS,0,0
ACC9927,8424,Quetta,5,Deposit,ATM,0,0
ACC9146,304393,Islamabad,18,Transfer,POS,1,1
ACC3694,122005,Karachi,5,Withdrawal,ATM,0,0
ACC2114,153197,Islamabad,5,Deposit,ATM,1,0
ACC1066,83268,Peshawar,2,Deposit,Desktop,0,0
ACC5191,136135,Karachi,3,Payment,Mobile,0,0
ACC2363,108188,Islamabad,1,Deposit,POS,0,0
ACC3417,90947,Karachi,4,Withdrawal,Mobile,0,0
ACC8898,49288,Peshawar,5,Withdrawal,POS,0,0
ACC4376,642840,Peshawar,20,Withdrawal,POS,1,1
ACC1009,134705,Peshawar,8,Deposit,Desktop,0,0
ACC7282,53215,Peshawar,9,Transfer,Desktop,0,0
ACC2446,185367,Islamabad,9,Deposit,Mobile,0,0
ACC4340,28460,Lahore,1,Deposit,ATM,0,0
ACC7673,163212,Islamabad,7,Withdrawal,Mobile,0,0
ACC5792,199897,Quetta,8,Transfer,Mobile,0,0
ACC6261,49680,Karachi,2,Deposit,POS,0,0
ACC2968,101282,Karachi,6,Withdrawal,ATM,0,0
ACC2722,82466,Peshawar,6,Withdrawal,Desktop,1,0
ACC7990,68603,Lahore,7,Transfer,ATM,1,0
ACC1818,174595,Lahore,8,Deposit,Desktop,0,0
ACC4127,68050,Peshawar,8,Transfer,Mobile,1,0
ACC1194,173941,Peshawar,4,Deposit,Mobile,0,0
ACC9069,86078,Peshawar,8,Withdrawal,Desktop,0,0
ACC8976,112514,Islamabad,1,Transfer,Desktop,0,0
ACC9528,55665,Lahore,7,Deposit,ATM,0,0
ACC4635,182750,Islamabad,1,Payment,POS,0,0
ACC5558,727565,Islamabad,33,Transfer,ATM,0,1
ACC1313,427361,Lahore,34,Transfer,Mobile,1,1
ACC5976,11611,Lahore,1,Deposit,Mobile,0,0
ACC8729,142290,Karachi,3,Withdrawal,POS,0,0
ACC9472,88938,Karachi,3,Withdrawal,ATM,0,0
ACC6890,170445,Quetta,7,Transfer,ATM,0,0
ACC7596,108609,Lahore,7,Withdrawal,Desktop,0,0
ACC8744,139414,Peshawar,5,Deposit,Desktop,0,0
ACC1631,74659,Quetta,7,Withdrawal,ATM,0,0
ACC5680,199304,Lahore,6,Payment,POS,0,0
ACC5021,102523,Islamabad,5,Transfer,Mobile,0,0
ACC3696,12318,Lahore,8,Deposit,Mobile,1,0
ACC5274,141027,Peshawar,3,Transfer,Desktop,0,0
ACC5985,91101,Karachi,2,Deposit,Desktop,0,0
ACC7066,915221,Quetta,13,Withdrawal,ATM,1,1
ACC9952,100740,Lahore,6,Payment,Desktop,0,0
ACC7694,39750,Peshawar,4,Withdrawal,Desktop,0,0
ACC6098,85128,Lahore,8,Transfer,POS,0,0
ACC4853,192892,Peshawar,7,Withdrawal,Desktop,0,0
ACC8444,13886,Peshawar,4,Transfer,POS,0,0
ACC9122,806464,Lahore,45,Payment,POS,1,1
ACC6925,122017,Peshawar,9,Transfer,POS,0,0
ACC5243,134225,Peshawar,9,Transfer,Desktop,0,0
ACC1542,778983,Quetta,16,Withdrawal,ATM,1,1
ACC9489,31734,Karachi,5,Withdrawal,ATM,0,0
ACC4220,774289,Quetta,27,Withdrawal,Mobile,1,1
ACC7689,160767,Islamabad,2,Deposit,ATM,1,0
ACC3971,170245,Islamabad,5,Deposit,Mobile,1,0
ACC9713,154534,Peshawar,9,Payment,POS,1,0
ACC1199,126984,Peshawar,6,Withdrawal,ATM,0,0
ACC5558,440425,Islamabad,35,Payment,ATM,0,1
ACC6293,46113,Islamabad,5,Payment,Desktop,0,0
ACC3744,160652,Quetta,2,Transfer,ATM,0,0
ACC3040,7836,Karachi,2,Withdrawal,POS,0,0
ACC8182,16676,Peshawar,5,Deposit,POS,0,0
ACC2215,165900,Quetta,6,Deposit,POS,0,0
ACC5317,145424,Karachi,1,Payment,POS,1,0
ACC7478,131903,Peshawar,2,Withdrawal,ATM,0,0
ACC2795,131127,Lahore,1,Deposit,Mobile,0,0
ACC7014,34825,Islamabad,4,Withdrawal,ATM,0,0
ACC7685,63608,Peshawar,1,Withdrawal,ATM,0,0
ACC2577,15241,Peshawar,9,Transfer,POS,0,0
ACC4067,94720,Islamabad,7,Deposit,POS,0,0
ACC7931,76784,Quetta,7,Deposit,Mobile,0,0
ACC8694,61362,Lahore,8,Payment,ATM,0,0
ACC7573,199524,Islamabad,2,Withdrawal,Mobile,0,0
ACC8408,175596,Islamabad,5,Transfer,POS,0,0
ACC5998,17076,Lahore,5,Withdrawal,Mobile,1,0
ACC1220,102160,Lahore,8,Payment,Desktop,0,0
ACC8190,111401,Peshawar,7,Payment,Mobile,0,0
ACC5611,136203,Lahore,6,Transfer,ATM,0,0
ACC3332,6917,Quetta,7,Deposit,Desktop,0,0
ACC1457,161054,Islamabad,3,Payment,POS,0,0
ACC8798,17207,Peshawar,6,Payment,POS,0,0
ACC3318,141542,Lahore,6,Withdrawal,POS,0,0
ACC2164,173534,Peshawar,9,Transfer,Desktop,0,0
ACC2189,198108,Quetta,8,Withdrawal,ATM,0,0
ACC9395,71685,Quetta,2,Transfer,Desktop,0,0
ACC6734,941136,Quetta,29,Transfer,Desktop,1,1
ACC9513,34032,Peshawar,6,Deposit,ATM,1,0
ACC2194,69423,Karachi,4,Transfer,ATM,1,0
ACC4995,19725,Quetta,4,Withdrawal,ATM,1,0
ACC6563,427193,Lahore,30,Payment,Mobile,1,1
ACC6052,45168,Lahore,8,Payment,ATM,0,0
ACC5849,134751,Peshawar,2,Deposit,POS,0,0
ACC4624,24965,Karachi,3,Withdrawal,Mobile,0,0
ACC7148,1197,Karachi,3,Payment,Desktop,0,0
ACC9860,141632,Peshawar,1,Withdrawal,ATM,1,0
ACC8505,128007,Peshawar,2,Transfer,ATM,0,0
ACC5989,157570,Islamabad,4,Transfer,ATM,0,0
